{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{aci x},{\$CE},{2},{7},{adc a,l},{\$8D},{1},{4}
{adc a,(hl)},{\$8E},{1},{7},{adc a,x},{\$CE},{2},{7}
{adc a,(ix+x)},{\$DD8E},{3},{19},{adc a},{\$8F},{1},{4}
{adc a,(iy+x)},{\$FD8E},{3},{19},{adc b},{\$88},{1},{4}
{adc a,a},{\$8F},{1},{4},{adc c},{\$89},{1},{4}
{adc a,b},{\$88},{1},{4},{adc d},{\$8A},{1},{4}
{adc a,c},{\$89},{1},{4},{adc e},{\$8B},{1},{4}
{adc a,d},{\$8A},{1},{4},{adc hl,bc},{\$ED4A},{2},{15}
{adc a,e},{\$8B},{1},{4},{adc hl,de},{\$ED5A },{2},{15}
{adc a,h},{\$8C},{1},{4},{adc hl,hl},{\$ED6A},{2},{15}
{adc a,ixh},{\$DD8C},{2},{8},{adc hl,sp},{\$ED7A},{2},{15}
{adc a,ixl},{\$DD8D},{2},{8},{adc h},{\$8C},{1},{4}
{adc a,iyh},{\$FD8C},{2},{8},{adc l},{\$8D},{1},{4}
{adc a,iyl},{\$FD8D},{2},{8},{adc m},{\$8E},{1},{7}
