{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{adi x},{\$C6},{2},{7},{and b},{\$A0},{1},{4}
{ana a},{\$A7},{1},{4},{and c},{\$A1},{1},{4}
{ana b},{\$A0},{1},{4},{and d},{\$A2},{1},{4}
{ana c},{\$A1},{1},{4},{and e},{\$A3},{1},{4}
{ana d},{\$A2},{1},{4},{and h},{\$A4},{1},{4}
{ana e},{\$A3},{1},{4},{and ixh},{\$DDA4},{2},{8}
{ana h},{\$A4},{1},{4},{and ixl},{\$DDA5},{2},{8}
{ana l},{\$A5},{1},{4},{and iyh},{\$FDA4},{2},{8}
{ana m},{\$A6},{1},{7},{and iyl},{\$FDA5},{2},{8}
{and (hl)},{\$A6},{1},{7},{and l},{\$A5},{1},{4}
{and (ix+x)},{\$DDA6},{3},{19},{and x},{\$E6},{2},{7}
{and (iy+x)},{\$FDA6},{3},{19},{ani x},{\$E6},{2},{7}
{and a},{\$A7},{1},{4},{},{},{},{}
