{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{bit 0,(hl)},{\$CB46},{2},{12},{bit 2,(hl)},{\$CB56},{2},{12}
{bit 0,(ix+x)},{\$DDCB46},{4},{20},{bit 2,(ix+x)},{\$DDCB56},{4},{20}
{bit 0,(iy+x)},{\$FDCB46},{4},{20},{bit 2,(iy+x)},{\$FDCB56},{4},{20}
{bit 0,a},{\$CB47},{2},{8},{bit 2,a},{\$CB57},{2},{8}
{bit 0,b},{\$CB40},{2},{8},{bit 2,b},{\$CB50},{2},{8}
{bit 0,c},{\$CB41},{2},{8},{bit 2,c},{\$CB51},{2},{8}
{bit 0,d},{\$CB42},{2},{8},{bit 2,d},{\$CB52},{2},{8}
{bit 0,e},{\$CB43},{2},{8},{bit 2,e},{\$CB53},{2},{8}
{bit 0,h},{\$CB44},{2},{8},{bit 2,h},{\$CB54},{2},{8}
{bit 0,l},{\$CB45},{2},{8},{bit 2,l},{\$CB55},{2},{8}
{bit 1,(hl)},{\$CB4E},{2},{12},{bit 3,(hl)},{\$CB5E},{2},{12}
{bit 1,(ix+x)},{\$DDCB4E},{4},{20},{bit 3,(ix+x)},{\$DDCB5E},{4},{20}
{bit 1,(iy+x)},{\$FDCB4E},{4},{20},{bit 3,(iy+x)},{\$FDCB5E},{4},{20}
{bit 1,a},{\$CB4F},{2},{8},{bit 3,a},{\$CB5F},{2},{8}
{bit 1,b},{\$CB48},{2},{8},{bit 3,b},{\$CB58},{2},{8}
{bit 1,c},{\$CB49},{2},{8},{bit 3,c},{\$CB59},{2},{8}
{bit 1,d},{\$CB4A},{2},{8},{bit 3,d},{\$CB5A},{2},{8}
{bit 1,e},{\$CB4B},{2},{8},{bit 3,e},{\$CB5B},{2},{8}
{bit 1,h},{\$CB4C},{2},{8},{bit 3,h},{\$CB5C},{2},{8}
{bit 1,l},{\$CB4D},{2},{8},{bit 3,l},{\$CB5D},{2},{8}
