{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{brlc de,b *},{\$ED2C},{2},{8},{ccf},{\$3F},{1},{4}
{bsla de,b *},{\$ED28},{2},{8},{cm xx},{\$FC},{3},{17/10}
{bsra de,b *},{\$ED29},{2},{8},{cma},{\$2F},{1},{4}
{bsrf de,b *},{\$ED2B},{2},{8},{cmc},{\$3F},{1},{4}
{bsrl de,b *},{\$ED2A},{2},{8},{cmp a},{\$BF},{1},{4}
{call c,xx},{\$DC},{3},{17/11},{cmp b},{\$B8},{1},{4}
{call m,xx},{\$FC},{3},{17/10},{cmp c},{\$B9},{1},{4}
{call nc,xx},{\$D4},{3},{17/10},{cmp d},{\$BA},{1},{4}
{call nz,xx},{\$C4},{3},{17/10},{cmp e},{\$BB},{1},{4}
{call p,xx},{\$F4},{3},{17/10},{cmp h},{\$BC},{1},{4}
{call pe,xx},{\$EC},{3},{17/10},{cmp l},{\$BD},{1},{4}
{call po,xx},{\$E4},{3},{17/10},{cmp m},{\$BE},{1},{7}
{call xx},{\$CD},{3},{17},{cnc xx},{\$D4},{3},{17/10}
{call z,xx},{\$CC},{3},{17/10},{cnz xx},{\$C4},{3},{17/10}
{cc xx},{\$DC},{3},{17/11},{},{},{},{}
