{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{cp (hl)},{\$BE},{1},{7},{cpir},{\$EDB1},{2},{21/16}
{cp (ix+x)},{\$DDBE},{2},{19},{cpi},{\$EDA1},{2},{16}
{cp (iy+x)},{\$FDBE},{2},{19},{cpl},{\$2F},{1},{4}
{cp a},{\$BF},{1},{4},{cpo xx},{\$E4},{3},{17/10}
{cp b},{\$B8},{1},{4},{cz xx},{\$CC},{3},{17/10}
{cp c},{\$B9},{1},{4},{daa},{\$27},{1},{4}
{cp d},{\$BA},{1},{4},{dad b},{\$09},{1},{11}
{cp e},{\$BB},{1},{4},{dad d},{\$19},{1},{11}
{cp h},{\$BC},{1},{4},{dad h},{\$29},{1},{11}
{cp ixh},{\$DDBC},{2},{8},{dad sp},{\$39},{1},{11}
{cp ixl},{\$DDBD},{2},{8},{dcr a},{\$3D},{1},{4}
{cp iyh},{\$FDBC},{2},{8},{dcr b},{\$05},{1},{4}
{cp iyl},{\$FDBD},{2},{8},{dcr c},{\$0D},{1},{4}
{cp l},{\$BD},{1},{4},{dcr d},{\$15},{1},{4}
{cp xx},{\$F4},{3},{17/10},{dcr e},{\$1D},{1},{4}
{cp x},{\$FE},{2},{7},{dcr h},{\$25},{1},{4}
{cpdr},{\$EDB9},{2},{21/16},{dcr l},{\$2D},{1},{4}
{cpd},{\$EDA9},{2},{16},{dcr m},{\$35},{1},{11}
{cpe},{\$EC},{3},{17/10},{},{},{},{}
