{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{dcx b},{\$0B},{1},{6},{dec iyl},{\$FD2D},{2},{8}
{dcx d},{\$1B},{1},{6},{dec iy},{\$FD2B},{2},{10}
{dcx h},{\$2B},{1},{6},{dec l},{\$2D},{1},{4}
{dcx sp},{\$3B},{1},{6},{dec sp},{\$3B},{1},{6}
{dec (hl)},{\$35},{1},{11},{di},{\$F3},{1},{4}
{dec (ix+x)},{\$DD35},{3},{23},{djnz x},{\$10},{2},{13/8}
{dec (iy+x)},{\$FD35},{3},{23},{ei},{\$FB},{1},{4}
{dec a},{\$3D},{1},{4},{ex (sp),hl},{\$E3},{1},{19}
{dec bc},{\$0B},{1},{6},{ex (sp),ix},{\$DDE3},{2},{23}
{dec b},{\$05},{1},{4},{ex (sp),iy},{\$FDE3},{2},{23}
{dec c},{\$0D},{1},{4},{ex af,af'},{\$08},{1},{4}
{dec de},{\$1B},{1},{6},{ex de,hl},{\$EB},{1},{4}
{dec d},{\$15},{1},{4},{exx},{\$D9},{1},{4}
{dec e},{\$1D},{1},{4},{halt},{\$76},{1},{4+}
{dec hl},{\$2B},{1},{6},{icr c},{\$0C},{1},{4}
{dec h},{\$25},{1},{4},{icr e},{\$1C},{1},{4}
{dec ixh},{\$DD25},{2},{8},{im 0},{\$ED46},{2},{8}
{dec ixl},{\$DD2D},{2},{8},{im 1},{\$ED56},{2},{8}
{dec ix},{\$DD2B},{2},{10},{im 2},{\$ED5E},{2},{8}
{dec iyh},{\$FD25},{2},{8},{},{},{},{}
