{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{in a,(c)},{\$ED78},{2},{12},{inc ixl},{\$DD2C},{2},{8}
{in a,(x)},{\$DB},{2},{11},{inc ix},{\$DD23},{2},{10}
{in b,(c)},{\$ED40},{2},{12},{inc iyh},{\$FD24},{2},{8}
{in c,(c)},{\$ED48},{2},{12},{inc iyl},{\$FD2C},{2},{8}
{in d,(c)},{\$ED50},{2},{12},{inc iy},{\$FD23},{2},{10}
{in e,(c)},{\$ED58},{2},{12},{inc l},{\$2C},{1},{4}
{in f,(c)},{\$ED70},{2},{12},{inc sp},{\$33},{1},{6}
{in h,(c)},{\$ED60},{2},{12},{indr},{\$EDBA},{2},{21/16}
{in l,(c)},{\$ED68},{2},{12},{ind},{\$EDAA},{2},{16}
{in x},{\$DB},{2},{11},{inir},{\$EDB2},{2},{21/16}
{inc (hl)},{\$34},{1},{11},{ini},{\$EDA2},{2},{16}
{inc (ix+x)},{\$DD34},{3},{23},{inr a},{\$3C},{1},{4}
{inc (iy+x)},{\$FD34},{3},{23},{inr b},{\$04},{1},{4}
{inc a},{\$3C},{1},{4},{inr d},{\$14},{1},{4}
{inc bc},{\$03},{1},{6},{inr h},{\$24},{1},{4}
{inc b},{\$04},{1},{4},{inr l},{\$2C},{1},{4}
{inc c},{\$0C},{1},{4},{inr m},{\$34},{1},{11}
{inc de},{\$13},{1},{6},{inx b},{\$03},{1},{6}
{inc d},{\$14},{1},{4},{inx d},{\$13},{1},{6}
{inc e},{\$1C},{1},{4},{inx h},{\$23},{1},{6}
{inc hl},{\$23},{1},{6},{inx sp},{\$33},{1},{6}
{inc h},{\$24},{1},{4},{},{},{},{}
