{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{jc xx},{\$DA},{3},{10},{jp pe,xx},{\$EA},{3},{10}
{jm xx},{\$FA},{3},{10},{jp po,xx},{\$E2},{3},{10}
{jmp xx},{\$C3},{3},{10},{jp xx},{\$C3},{3},{10}
{jnc xx},{\$D2},{3},{10},{jp xx},{\$F2},{3},{10}
{jnz xx},{\$C2},{3},{10},{jp z,xx},{\$CA},{3},{10}
{jp (c) *},{\$ED98},{2},{13},{jpe xx},{\$EA},{3},{10}
{jp (hl)},{\$E9},{1},{4},{jpo xx},{\$E2},{3},{10}
{jp (ix)},{\$DDE9},{3},{8},{jr c,x},{\$38},{2},{12/7}
{jp (iy)},{\$FDE9},{3},{8},{jr nc,x},{\$30},{2},{12/7}
{jp c,xx},{\$DA},{3},{10},{jr nz,x},{\$20},{2},{12/7}
{jp m,xx},{\$FA},{3},{10},{jr x},{\$18},{2},{12}
{jp nc,xx},{\$D2},{3},{10},{jr z,x},{\$28},{2},{12/7}
{jp nz,xx},{\$C2},{3},{10},{jz xx},{\$CA},{3},{10}
{jp p,xx},{\$F2},{3},{10},{},{},{},{}
