{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{ld (xx),a},{\$32},{3},{13},{ld a,b},{\$78},{1},{4}
{ld (xx),bc},{\$ED43},{4},{20},{ld a,c},{\$79},{1},{4}
{ld (xx),de},{\$ED53},{4},{20},{ld a,d},{\$7A},{1},{4}
{ld (xx),hl},{\$22},{3},{16},{ld a,e},{\$7B},{1},{4}
{ld (xx),hl},{\$ED63},{4},{ld a,h},{\$7C},{1},{4}
{ld (xx),ix},{\$DD22},{4},{20},{ld a,ixh},{\$DD7C},{2},{8}
{ld (xx),iy},{\$FD22},{4},{20},{ld a,ixl},{\$DD7D},{2},{8}
{ld (xx),sp},{\$ED73},{4},{20},{ld a,iyh},{\$FD7C},{2},{8}
{ld a,(bc)},{\$0A},{1},{7},{ld a,iyl},{\$FD7D},{2},{8}
{ld a,(de)},{\$1A},{1},{7},{ld a,i},{\$ED57},{2},{9}
{ld a,(hl)},{\$7E},{1},{7},{ld a,l},{\$7D},{1},{4}
{ld a,(ix+x)},{\$DD7E},{3},{19},{ld a,r},{\$ED5F},{2},{9}
{ld a,(iy+x)},{\$FD7E},{3},{19},{ld a,x},{\$3E},{2},{7}
{ld a,(xx)},{\$3A},{3},{13},{},{},{},{}
