{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{lda xx},{\$3A},{3},{13},{ldi},{\$EDA0},{2},{16}
{ldax b},{\$0A},{1},{7},{ldpirx *},{\$EDB7},{2},{21/16}
{ldax d},{\$1A},{1},{7},{ldws *},{\$EDA5},{2},{14}
{lddrx *},{\$EDBC},{2},{21/16},{lhld xx},{\$2A},{3},{16}
{lddr},{\$EDB8},{2},{21/16},{lxi b,xx},{\$01},{3},{10}
{lddx *},{\$EDAC},{2},{16},{lxi d,xx},{\$11},{3},{10}
{ldd},{\$EDA8},{2},{16},{lxi h,xx},{\$21},{3},{10}
{ldirx *},{\$EDB4},{2},{21/16},{lxi sp,xx},{\$31},{3},{10}
{ldir},{\$EDB0},{2},{21/16},{mirror a *},{\$ED24},{2},{8}
{ldix *},{\$EDA4},{2},{16},{},{},{},{}
