{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{ret c},{\$D8},{1},{11/5},{rla},{\$17},{1},{4}
{ret m},{\$F8},{1},{11/5},{rlc (hl)},{\$CB06},{2},{15}
{ret nc},{\$D0},{1},{11/5},{rlc (ix+x)},{\$DDCB06},{4},{23}
{ret nz},{\$C0},{1},{11/5},{rlc (iy+x)},{\$FDCB06},{4},{23}
{ret pe},{\$E8},{1},{11/5},{rlc a},{\$CB07},{2},{8}
{ret po},{\$E0},{1},{11/5},{rlc b},{\$CB00},{2},{8}
{ret p},{\$F0},{1},{11/5},{rlc c},{\$CB01},{2},{8}
{ret z},{\$C8},{1},{11/5},{rlc d},{\$CB02},{2},{8}
{reti},{\$ED4D},{2},{14},{rlc e},{\$CB03},{2},{8}
{retn},{\$ED45},{2},{14},{rlc h},{\$CB04},{2},{8}
{ret},{\$C9},{1},{10},{rlc l},{\$CB05},{2},{8}
{rl (hl)},{\$CB16},{2},{15},{rlca},{\$07},{1},{4}
{rl (ix+x)},{\$DDCB16},{4},{23},{rlc},{\$07},{1},{4}
{rl (iy+x)},{\$FDCB16},{4},{23},{rld},{\$ED6F},{2},{18}
{rl a},{\$CB17},{2},{8},{rm},{\$F8},{1},{11/5}
{rl b},{\$CB10},{2},{8},{rnc},{\$D0},{1},{11/5}
{rl c},{\$CB11},{2},{8},{rnz},{\$C0},{1},{11/5}
{rl d},{\$CB12},{2},{8},{rpe},{\$E8},{1},{11/5}
{rl e},{\$CB13},{2},{8},{rpo},{\$E0},{1},{11/5}
{rl h},{\$CB14},{2},{8},{rp},{\$F0},{1},{11/5}
{rl l},{\$CB15},{2},{8},{},{},{},{}
