{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{rr (hl)},{\$CB1E},{2},{15},{rrca},{\$0F},{1},{4}
{rr (ix+x)},{\$DDCB1E},{4},{23},{rrc},{\$0F},{1},{4}
{rr (iy+x)},{\$FDCB1E},{4},{23},{rrd},{\$ED67},{2},{18}
{rr a},{\$CB1F},{2},{8},{rst 00h},{\$C7},{1},{11}
{rr b},{\$CB18},{2},{8},{rst 08h},{\$CF},{1},{11}
{rr c},{\$CB19},{2},{8},{rst 0},{\$C7},{1},{11}
{rr d},{\$CB1A},{2},{8},{rst 10h},{\$D7},{1},{11}
{rr e},{\$CB1B},{2},{8},{rst 18h},{\$DF},{1},{11}
{rr h},{\$CB1C},{2},{8},{rst 1},{\$CF},{1},{11}
{rr l},{\$CB1D},{2},{8},{rst 20h},{\$E7},{1},{11}
{rra},{\$1F},{1},{4},{rst 28h},{\$EF},{1},{11}
{rrc (hl)},{\$CB0E},{2},{15},{rst 2},{\$D7},{1},{11}
{rrc (ix+x)},{\$DDCB0E},{4},{23},{rst 30h},{\$F7},{1},{11}
{rrc (iy+x)},{\$FDCB0E},{4},{23},{rst 38h},{\$FF},{1},{11}
{rrc a},{\$CB0F},{2},{8},{rst 3},{\$DF},{1},{11}
{rrc b},{\$CB08},{2},{8},{rst 4},{\$E7},{1},{11}
{rrc c},{\$CB09},{2},{8},{rst 5},{\$EF},{1},{11}
{rrc d},{\$CB0A},{2},{8},{rst 6},{\$F7},{1},{11}
{rrc e},{\$CB0B},{2},{8},{rst 7},{\$FF},{1},{11}
{rrc h},{\$CB0C},{2},{8},{rz},{\$C8},{1},{11/5}
{rrc l},{\$CB0D},{2},{8},{},{},{},{}
