{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{sbb a},{\$9F},{1},{4},{sbc a,e},{\$9B},{1},{4}
{sbb b},{\$98},{1},{4},{sbc a,h},{\$9C},{1},{4}
{sbb c},{\$99},{1},{4},{sbc a,ixh},{\$DD9C},{2},{8}
{sbb d},{\$9A},{1},{4},{sbc a,ixl},{\$DD9D},{2},{8}
{sbb e},{\$9B},{1},{4},{sbc a,iyh},{\$FD9C},{2},{8}
{sbb h},{\$9C},{1},{4},{sbc a,iyl},{\$FD9D},{2},{8}
{sbb l},{\$9D},{1},{4},{sbc a,l},{\$9D},{1},{4}
{sbb m},{\$9E},{1},{7},{sbc a,x},{\$DE},{2},{7}
{sbc a,(hl)},{\$9E},{1},{7},{sbc hl,bc},{\$ED42},{2},{15}
{sbc a,(ix+x)},{\$DD9E},{3},{1},{sbc hl,de},{\$ED52},{2},{15}
{sbc a,(iy+x)},{\$FD9E},{3},{1},{sbc hl,hl},{\$ED62},{2},{15}
{sbc a,a},{\$9F},{1},{4},{sbc hl,sp},{\$ED72},{2},{15}
{sbc a,b},{\$98},{1},{4},{sbi x},{\$DE},{2},{7}
{sbc a,c},{\$99},{1},{4},{scf},{\$37},{1},{4}
{sbc a,d},{\$9A},{1},{4},{},{},{},{}
