{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{setae *},{\$ED95},{2},{8},{sra (ix+x)},{\$DDCB2E},{4},{23}
{shld xx},{\$22},{3},{16},{sra (iy+x)},{\$FDCB2E},{4},{23}
{sla (hl)},{\$CB26},{2},{15},{sra a},{\$CB2F},{2},{8}
{sla (ix+x)},{\$DDCB26},{4},{23},{sra b},{\$CB28},{2},{8}
{sla (iy+x)},{\$FDCB26},{4},{23},{sra c},{\$CB29},{2},{8}
{sla a},{\$CB27},{2},{8},{sra d},{\$CB2A},{2},{8}
{sla b},{\$CB20},{2},{8},{sra e},{\$CB2B},{2},{8}
{sla c},{\$CB21},{2},{8},{sra h},{\$CB2C},{2},{8}
{sla d},{\$CB22},{2},{8},{sra l},{\$CB2D},{2},{8}
{sla e},{\$CB23},{2},{8},{srl (hl)},{\$CB3E},{2},{15}
{sla h},{\$CB24},{2},{8},{srl (ix+x)},{\$DDCB3E},{4},{23}
{sla l},{\$CB25},{2},{8},{srl (iy+x)},{\$FDCB3E},{4},{23}
{sll (hl)},{\$CB36},{2},{15},{srl a},{\$CB3F},{2},{8}
{sll (ix+x)},{\$DDCB36},{4},{23},{srl b},{\$CB38},{2},{8}
{sll (iy+x)},{\$FDCB36},{4},{23},{srl c},{\$CB39},{2},{8}
{sll a},{\$CB37},{2},{8},{srl d},{\$CB3A},{2},{8}
{sll b},{\$CB30},{2},{8},{srl e},{\$CB3B},{2},{8}
{sll c},{\$CB31},{2},{8},{srl h},{\$CB3C},{2},{8}
{sll d},{\$CB32},{2},{8},{srl l},{\$CB3D},{2},{8}
{sll e},{\$CB33},{2},{8},{sta xx},{\$32},{3},{13}
{sll h},{\$CB34},{2},{8},{stax b},{\$02},{1},{7}
{sll l},{\$CB35},{2},{8},{stax d},{\$12},{1},{7}
{sphl},{\$F9},{1},{6},{stc},{\$37},{1},{4}
{sra (hl)},{\$CB2E},{2},{15},{},{},{},{}
