{Mnemonic},{Opcode},{Sz},{T},{Mnemonic},{Opcode},{Sz},{T}
{sub (hl)},{\$96},{1},{7},{xor a},{\$AF},{1},{4}
{sub (ix+x)},{\$DD96},{3},{19},{xor b},{\$A8},{1},{4}
{sub (iy+x)},{\$FD96},{3},{19},{xor c},{\$A9},{1},{4}
{sub a},{\$97},{1},{4},{xor d},{\$AA},{1},{4}
{sub b},{\$90},{1},{4},{xor e},{\$AB},{1},{4}
{sub c},{\$91},{1},{4},{xor h},{\$AC},{1},{4}
{sub d},{\$92},{1},{4},{xor ixh},{\$DDAC},{2},{8}
{sub e},{\$93},{1},{4},{xor ixl},{\$DDAD},{2},{8}
{sub h},{\$94},{1},{4},{xor iyh},{\$FDAC},{2},{8}
{sub ixh},{\$DD94},{2},{8},{xor iyl},{\$FDAD},{2},{8}
{sub ixl},{\$DD95},{2},{8},{xor l},{\$AD},{1},{4}
{sub iyh},{\$FD94},{2},{8},{xor x},{\$EE},{2},{7}
{sub iyl},{\$FD95},{2},{8},{xra a},{\$AF},{1},{4}
{sub l},{\$95},{1},{4},{xra b},{\$A8},{1},{4}
{sub m},{\$96},{1},{7},{xra c},{\$A9},{1},{4}
{sub x},{\$D6},{2},{7},{xra d},{\$AA},{1},{4}
{sui x},{\$D6},{2},{7},{xra e},{\$AB},{1},{4}
{swapinb *},{\$ED23},{2},{8},{xra h},{\$AC},{1},{4}
{test x *},{\$ED27},{3},{11},{xra l},{\$AD},{1},{4}
{xchg},{\$EB},{1},{4},{xra m},{\$AE},{1},{7}
{xor (hl)},{\$AE},{1},{7},{xri x},{\$EE},{2},{7}
{xor (ix+x)},{\$DDAE},{3},{19},{xthl},{\$E3},{1},{19}
{xor (iy+x)},{\$FDAE},{3},{19},{},{},{},{}
